Song,Artist,Genre,Mood,Image,Link
Kesariya,Arijit Singh,Bollywood,Romantic,https://picsum.photos/200?1,https://www.youtube.com/results?search_query=Kesariya+Official
Apna Bana Le,Arijit Singh,Bollywood,Romantic,https://picsum.photos/200?2,https://www.youtube.com/results?search_query=Apna+Bana+Le+Official
Tum Hi Ho,Arijit Singh,Bollywood,Sad,https://picsum.photos/200?3,https://www.youtube.com/results?search_query=Tum+Hi+Ho+Official
Heeriye,Arijit Singh,Romantic,Love,https://picsum.photos/200?4,https://www.youtube.com/results?search_query=Heeriye+Official
Satranga,Arijit Singh,Romantic,Love,https://picsum.photos/200?5,https://www.youtube.com/results?search_query=Satranga+Official
Chaleya,Arijit Singh,Bollywood,Happy,https://picsum.photos/200?6,https://www.youtube.com/results?search_query=Chaleya+Official
Perfect,Ed Sheeran,Pop,Romantic,https://picsum.photos/200?7,https://www.youtube.com/results?search_query=Perfect+Ed+Sheeran+Official
Shape of You,Ed Sheeran,Pop,Happy,https://picsum.photos/200?8,https://www.youtube.com/results?search_query=Shape+of+You+Official
Photograph,Ed Sheeran,Pop,Relax,https://picsum.photos/200?9,https://www.youtube.com/results?search_query=Photograph+Official
Believer,Imagine Dragons,Rock,Energetic,https://picsum.photos/200?10,https://www.youtube.com/results?search_query=Believer+Official
Thunder,Imagine Dragons,Rock,Energetic,https://picsum.photos/200?11,https://www.youtube.com/results?search_query=Thunder+Official
Radioactive,Imagine Dragons,Rock,Energetic,https://picsum.photos/200?12,https://www.youtube.com/results?search_query=Radioactive+Official
Bones,Imagine Dragons,Rock,Energetic,https://picsum.photos/200?13,https://www.youtube.com/results?search_query=Bones+Official
Blinding Lights,The Weeknd,Pop,Happy,https://picsum.photos/200?14,https://www.youtube.com/results?search_query=Blinding+Lights+Official
Starboy,The Weeknd,Pop,Energetic,https://picsum.photos/200?15,https://www.youtube.com/results?search_query=Starboy+Official
Levitating,Dua Lipa,Pop,Happy,https://picsum.photos/200?16,https://www.youtube.com/results?search_query=Levitating+Official
Houdini,Dua Lipa,Pop,Energetic,https://picsum.photos/200?17,https://www.youtube.com/results?search_query=Houdini+Dua+Lipa+Official
APT,ROSÉ & Bruno Mars,Pop,Happy,https://picsum.photos/200?18,https://www.youtube.com/results?search_query=APT+Official
Die With A Smile,Lady Gaga & Bruno Mars,Pop,Sad,https://picsum.photos/200?19,https://www.youtube.com/results?search_query=Die+With+A+Smile+Official
